email_text,request_type,sub_request_type
"We are writing to inform you that the interest rate on the Credit Facility has been adjusted from 5.00% to 5.25% per annum, effective December 31, 2024. This adjustment has been made following the central bank's interest rate announcement. Please update your records accordingly. All other terms of the facility remain unchanged. If you have any questions, please let us know. We appreciate your cooperation. Please feel free to contact us with any queries.",Adjustment,
"We are writing to inform you that the interest rate on the Term Loan B has been adjusted from 4.50% to 4.75% per annum, effective March 1, 2025. This adjustment has been made in line with the updated LIBOR replacement. Please update your records accordingly. All other terms of the facility remain unchanged. If you have any questions, please let us know. We appreciate your cooperation. Please feel free to contact us with any queries.",Adjustment,
"Please be advised that the facility fee for the Revolving Credit Facility has been adjusted as of March 31, 2025. The adjustment results in a net adjustment of USD 44153.19 applied. This change is due to an oversight in the previous calculation. We will reflect this adjustment in the next statement. Please let us know if you have any questions. Thank you for your understanding. Please let us know if you have any questions.",Adjustment,
"Please be advised that the commitment fee for the Term Loan A has been adjusted as of Dec 31, 2024. The adjustment results in a refund of USD 25225.41 to the borrower. This change is due to the correction of an error. We will reflect this adjustment in the next statement. Please let us know if you have any questions. Thank you for your understanding. Please let us know if you have any questions.",Adjustment,
"Kindly note that the payment due date for the March 2025 payment has been adjusted from March 1, 2025 to Nov 22, 2024. This adjustment is to accommodate an internal processing delay. No penalties or additional interest will apply due to this change. We have updated the payment schedule accordingly. All stakeholders have been notified accordingly. Thank you for your cooperation.",Adjustment,
"Kindly note that the payment due date for the March 2025 payment has been adjusted from March 1, 2025 to March 8, 2025. This adjustment is to accommodate a local banking holiday. No penalties or additional interest will apply due to this change. We have updated the payment schedule accordingly. All stakeholders have been notified accordingly. Thank you for your cooperation.",Adjustment,
"Pursuant to a recent reconciliation, we have adjusted the principal allocation under the Term Loan B. After reconciliation, Midwest Trust's principal balance is now USD 7324071.95 (previously USD 7599378.32). This correction reflects the accurate funding amounts and has been recorded in our system. Please update your records accordingly. No further action is required from your side at this time. Thank you.",Adjustment,
"Pursuant to a recent reconciliation, we have adjusted the principal allocation under the Loan Facility. After reconciliation, XYZ Capital's principal balance is now USD 8975132.52 (previously USD 9885013.32). This correction reflects the accurate funding amounts and has been recorded in our system. Please update your records accordingly. No further action is required from your side at this time. Thank you.",Adjustment,
"Due to a recalculation of interest for the period Jan 2025, the interest amount on the Term Loan A has been adjusted. The revised interest due is USD 399311.25 instead of USD 401111.00. This adjustment will be reflected in the next payment cycle. Please note this change for your records. We appreciate your attention to this matter. Thank you for your cooperation.",Adjustment,
"Due to a recalculation of interest for the period the last quarter, the interest amount on the Loan Facility has been adjusted. The revised interest due is USD 179805.49 instead of USD 181889.37. This adjustment will be reflected in the next payment cycle. Please note this change for your records. We appreciate your attention to this matter. Thank you for your cooperation.",Adjustment,
